provinceId,provinceTh,provinceEn,provinceDescTh,LAT,LON,photoRef
33,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,ราชธานีเก่า อู่ข้าวอู่น้ำ เลิศล้ำกานท์กวี คนดีศรีอยุธยา,14.3532128,100.56895990000001,ATtYBwJ8ESr_ZVgBxXfr1JkdoisC-Hkw-hLQmOHg32nSodpCPl_A23rZs5TNbopPdcJybSEgf7BPlUqEnEhjG_reXJYN7S9wsONGqZc3VcMblONdnRuZDdeIv3TEburD-oBnjoto84-q0mW2okjxyIabr_p3ZLG447X_uVmZMrBJZBv8wLB-
34,พะเยา,Phayao,กว๊านพะเยาแหล่งชีวิต ศักดิ์สิทธิ์พระเจ้าตนหลวง บวงสรวงพ่อขุนงำเมือง งามลือเลื่องดอยบุษราคัม,19.2154367,100.2023692,ATtYBwIIau4d3AdYCokdujxvNhJVA6rRuRI8DAFEyv6noK_OgYPm7-1zHribTzTzn_dwJeky1_SZ3o9rNtQG3gGC7BgRHAbjQdA0_I96Rqit06Sf1I8bmoOw4zUcFLsuZyDm8ZyxuPnpZ4Vs0wSSjJ99H6AfCuf94GEtPD--dkdJ3-u8BSrX
35,พังงา,Phang-nga,แร่หมื่นล้าน บ้านกลางน้ำ ถ้ำงามตา ภูผาแปลก แมกไม้จำปูน บริบูรณ์ทรัพยากร,8.4501414,98.5255317,ATtYBwIVnqL9f2aQ-Tv36CTiZxYZGIZ7Yc1ikLakJXF20L5m9ayiF1MyQ2QYD37tufZmgpUjbSSz5MoMn5nYSQTBYAIlmgctr0aZsF7ghOfxDMq4BF8260WLfjgr37PNELQqE6D2_DTJ0YICc8dv5sPiTHfd2IOTefmN35gZ44hcKbAjDA5V
36,พัทลุง,Phatthalung,เมืองหนังโนรา อู่นาข้าว พราวน้ำตก แหล่งนกน้ำ ทะเลสาบงาม เขาอกทะลุ น้ำพุร้อน,7.616682300000001,100.07402309999999,ATtYBwLo-VmFFduvR2zgLhvWATNjMHO8DtHbgigZzkOMuuouovo3YBS6JhGJt7tQc_0Qq-gEbk49T0QErTZ6ADeiDDWOPrEmIre7Vne2MulMT57xnpnEF46N10wEkJ9PS4UezlzjVD_3WAsBCZTLCbU3EGWjrengg1jb9avttTuKj9IZJWZS
37,พิจิตร,Phichit,ถิ่นประสูติพระเจ้าสือ แข่งเรือยาวประเพณี พระเครื่องดีหลวงพ่อเงิน เพลิดเพลินบึงสีไฟ ศูนย์รวมใจหลวงพ่อเพชร รสเด็ดส้มท่าข่อย ข้าวจ้าวอร่อยลือเรื่อง ตำนานเมืองชาละวัน,16.274087599999998,100.3346991,ATtYBwI1bI9nqEL8arN9XON7HQsYQkuWdvw-sIGRB4cFWFc4DBBTaf0s8WPNrmQdCnJ2cqQzPchvMiZhoOGKfG2TY8PgFfF_mXhAmzFfGCPi2hekYowRm4iCeDVHISHEwYlNa_zkkwxdDTiwwhs9jTLCiNJdXm2WDxclVCw8UQ-JxfetdIQQ
38,พิษณุโลก,Phitsanulok,พระพุทธชินราชงามเลิศ ถิ่นกำเนิดพระนเรศวร สองฝั่งน่านล้วนเรือนแพ หวานฉ่ำแท้กล้วยตาก ถ้ำและน้ำตกหลากตระการตา,16.821123800000002,100.26585159999999,ATtYBwKrT79Xc9Y7KAGFVgV11hAgAGDaJuTrssBo4JeEaOR5U7m_JoMlPt-HtQAKtlhw0TjLbZER-D2M8g0YEqwgxtJDU4U2sRdW8SLXvNCUEF1Bt9n5IKYXEfYvUBo5TC0ptB53eYz2ROtxov5aX87kxgrytkwfVrSLnwSku2TRezx7i_vh
39,เพชรบุรี,Phetchaburi,เขาวังคู่บ้าน ขนมหวาน เมืองพระ เลิศล้ำศิลปะ แดนธรรมะ ทะเลงาม,12.964921499999999,99.64258829999999,ATtYBwKbE5lPzpZeXD_jkOfGhGOoY-D8QNRavTGmD-hQlA2LX-3Ksn9vS8H9DfognNJSpFi6VOFzIoJ6HdEZHAk56yF0HF0c8R0oxovoXbZM-9304Ji5U8vyUICRYeJk4X7JrnZy8ZdayethuZRJh351XLjQNhBcSlAjziw8GdDXuwiQXmVm
40,เพชรบูรณ์,Phetchabun,เมืองมะขามหวาน อุทยานน้ำหนาว ศรีเทพเมืองเก่า เขาค้ออนุสรณ์ นครพ่อขุนผาเมือง,16.301669,101.1192804,ATtYBwKdmXxucbAovnSuaJCAOgtaPLNMbnMCOPZw-2hygwm08iiy7Yvwd7ywBL0odG7hFkxsVL7rWk423_NzVJhOHbVbNiQkol-3jqAe4HVHed8e95X3L53mdT1fdvK_c5sCkb3cV-M3Q9ck14s-Rd0tcbN1BqRu2VATg_o9t8ZNnMLHMpGv
41,แพร่,Phrae,หม้อห้อมไม้สัก ถิ่นรักพระลอ ช่อแฮศรีเมือง ลือเลื่องแพะเมืองผี คนแพร่นี้ใจงาม,18.1445774,100.14028309999999,ATtYBwI3ElgVH1qyELlPDsYiv26H4MIWfpcB4Lqhp3a0NPAagXE9CroKG552XM19l1XH6FNwMs1Vfc6ZuQmoM0oLylhGrmy_gccGS5zQamN4zvlNzR14a9HtzDidGGKbts0gITHmFpuuPPIost-fL-bE73u2D-lhKXdFjH6y4lxHuX0jtAgc
42,ภูเก็ต,Phuket,ไข่มุกอันดามัน สวรรค์เมืองใต้ หาดทรายสีทอง สองวีรสตรี บารมีหลวงพ่อแช่ม,7.951933099999999,98.3380884,ATtYBwJSN-NBSlagZcnumacwwMa4ydqlPy2nahjIv-RtBwktwoBlT0JW-kKw_dfTJvXoDHFlpQkm81NDUb4h5R03W0u5d3O8rkvqsyl0OXRI7QKtuRXaikUjiHe3W9dU6NJ7yT9eLMxU1HMEz7Q2kz8bsiXeSu1esm14RS0T__K4OS2hy9Rh
