Thread_id,Thread_index,Index,Word,Label,LAT,LON,provinceEn,provinceId
37090333,18,53,ปางอุ๋ง,LOCATION,19.498392000000006,97.9092037,Chang Wat Mae Hong Son,45
37068914,19,165,นาเฮียใช้ ต.บ้านโพธิ์ อ.เมือง จ.สุพรรณบุรี,LOCATION,14.495680300000002,100.0575501,Chang Wat Suphan Buri,67
37097958,20,0,จังหวัดพระนครศรีอยุธยา,LOCATION,14.3532128,100.5689599,Phra Nakhon Si Ayutthaya,33
37097958,20,28,อุทยานประวัติศาสตร์พระนครศรีอยุธยา,LOCATION,14.3505156,100.5569549,Chang Wat Phra Nakhon Si Ayutthaya,33
37097958,20,37,เกาะเมือง,LOCATION,37.860909,-122.4325682,California,
37097958,20,46,สะพานปรีดี,LOCATION,14.3521184,100.5815077,Chang Wat Phra Nakhon Si Ayutthaya,33
37097958,20,50,ศาลากลางจังหวัดหลังเก่า,LOCATION,13.842282,100.49219709999998,นนทบุรี,24
37097958,20,56,ศาลหลักเมือง,LOCATION,13.7527513,100.4939412,Krung Thep Maha Nakhon,1
37097958,20,59,คุ้มขุนแผน,LOCATION,14.4871122,100.116769,Chang Wat Suphan Buri,67
37097958,20,62,วิหารพระมงคลบพิตร,LOCATION,14.354922199999995,100.5577472,Chang Wat Phra Nakhon Si Ayutthaya,33
37097958,20,67,วัดพระศรีสรรเพ็ชญ์,LOCATION,14.3557592,100.5582385,Phra Nakhon Si Ayutthaya,33
37097958,20,78,วัดพระราม,LOCATION,14.354165099999998,100.5617828,Phra Nakhon Si Ayutthaya,33
37097958,20,115,ตลาดย้อนยุค,LOCATION,14.8007415,100.3222634,Chang Wat Sing Buri,65
37097958,20,118,ถนนคนเดิน ถนนกินเส้น,LOCATION,17.8968414,101.659168,Chang Wat Loei,55
37032964,21,51,ไทย,LOCATION,15.870032,100.992541,,
37032964,21,64,เกาหลี,LOCATION,37.66399759999999,127.9784585,,
37032964,21,72,อเมริกา,LOCATION,37.09024,-95.712891,,
37032964,21,74,ญี่ปุ่น,LOCATION,36.204824,138.252924,,
37032964,21,131,เกาหลี,LOCATION,37.66399759999999,127.9784585,,
37048572,22,48,เดอะไนท์ พระราม9,LOCATION,13.7412724,100.6251459,Krung Thep Maha Nakhon,1
37046013,23,39,เกาะช้าง,LOCATION,12.0479159,102.3234816,Trat,16
37083162,25,0,มหาสารคาม,LOCATION,16.0132015,103.1615169,Maha Sarakham,43
37083162,25,52,กันทรวิชัย,LOCATION,16.2795768,103.2432632,Maha Sarakham,43
37083162,25,55,เชียงยืน,LOCATION,16.42967,103.0587399,Maha Sarakham,43
37083162,25,61,บ้านหนองซอน,LOCATION,16.3456577,103.1255561,Maha Sarakham,43
37083162,25,164,ลาว,LOCATION,19.85627,102.495496,,
37083162,25,217,วัดป่าบ้านหนองซอน,LOCATION,16.3489419,103.1148545,Maha Sarakham,43
37083162,25,247,ประเทศลาว,LOCATION,19.85627,102.495496,,
37083162,25,327,พิษณุโลก,LOCATION,17.0363855,100.583514,Phitsanulok,38
37083162,25,404,จ.มหาสารคาม,LOCATION,16.0132015,103.1615169,Maha Sarakham,43
37083162,25,446,มหาสารคาม,LOCATION,16.0132015,103.1615169,Maha Sarakham,43
37010980,26,9,จังหวัดอุบลราชธานี,LOCATION,15.2286861,104.8564217,Ubon Ratchathani,77
37010980,26,44,ประเทศไทย,LOCATION,15.870032,100.992541,,
37010980,26,187,Palio เขาใหญ่,LOCATION,14.538115,101.400011,นครราชสีมา,21
37019382,27,6,พัทยา,LOCATION,12.923555699999998,100.8824551,Chon Buri,9
37019382,27,12,เชียงคาน เวียงจันทร์,LOCATION,17.775257699999994,101.6872155,Loei,55
37019382,27,17,คำชะโนด,LOCATION,17.7447363,103.3607225,Chang Wat Udon Thani,74
37019382,27,64,เชียงคาน,LOCATION,17.8333696,101.7523854,Loei,55
37019382,27,67,เชียงคาน,LOCATION,17.8333696,101.7523854,Loei,55
37019382,27,76,ริมโขง,LOCATION,17.8839649,102.7437601,หนองคาย,70
37019382,27,80,วัดผาตากเสื้อ,LOCATION,18.0363977,102.3046346,Nong Khai,70
37019382,27,86,หนองคาย,LOCATION,17.8782803,102.7412638,Nong Khai,70
37019382,27,89,เวียงจันทร์,LOCATION,17.975705800000004,102.6331035,Vientiane Prefecture,
37019382,27,101,คำชะโนด,LOCATION,17.7447363,103.3607225,Chang Wat Udon Thani,74
37019382,27,141,เชียงคาน,LOCATION,17.8333696,101.7523854,Loei,55
37019382,27,143,วัดผาตากเสื้อ,LOCATION,18.0363977,102.3046346,Nong Khai,70
37019382,27,148,หนองคาย,LOCATION,17.8782803,102.7412638,Nong Khai,70
